nm    	T%  
746.50 	72.6 
746.00 	72.8 
745.50 	72.6 
745.00 	72.5 
744.50 	72.6 
744.00 	72.5 
743.50 	72.4 
743.00 	72.5 
742.50 	72.5 
742.00 	72.4 
741.50 	72.5 
741.00 	72.3 
740.50 	72.2 
740.00 	72.4 
739.50 	72.3 
739.00 	72.1 
738.50 	72.3 
738.00 	72.2 
737.50 	72.1 
737.00 	72.2 
736.50 	72.1 
736.00 	71.9 
735.50 	72.1 
735.00 	71.9 
734.50 	71.7 
734.00 	71.9 
733.50 	71.8 
733.00 	71.7 
732.50 	71.8 
732.00 	71.7 
731.50 	71.5 
731.00 	71.7 
730.50 	71.5 
730.00 	71.5 
729.50 	71.5 
729.00 	71.4 
728.50 	71.3 
728.00 	71.4 
727.50 	71.2 
727.00 	71.0 
726.50 	71.2 
726.00 	71.1 
725.50 	70.9 
725.00 	71.0 
724.50 	70.9 
724.00 	70.7 
723.50 	70.9 
723.00 	70.7 
722.50 	70.6 
722.00 	70.6 
721.50 	70.5 
721.00 	70.4 
720.50 	70.5 
720.00 	70.3 
719.50 	70.1 
719.00 	70.3 
718.50 	70.1 
718.00 	69.9 
717.50 	70.2 
717.00 	69.9 
716.50 	69.8 
716.00 	69.9 
715.50 	69.7 
715.00 	69.6 
714.50 	69.7 
714.00 	69.5 
713.50 	69.3 
713.00 	69.4 
712.50 	69.3 
712.00 	69.2 
711.50 	69.2 
711.00 	69.1 
710.50 	69.0 
710.00 	69.1 
709.50 	68.9 
709.00 	68.7 
708.50 	68.8 
708.00 	68.7 
707.50 	68.6 
707.00 	68.6 
706.50 	68.5 
706.00 	68.2 
705.50 	68.4 
705.00 	68.2 
704.50 	68.1 
704.00 	68.1 
703.50 	68.0 
703.00 	67.9 
702.50 	68.0 
702.00 	67.8 
701.50 	67.6 
701.00 	67.7 
700.50 	67.6 
700.00 	67.4 
699.50 	67.5 
699.00 	67.3 
698.50 	67.2 
698.00 	67.4 
697.50 	67.1 
697.00 	66.9 
696.50 	67.1 
696.00 	66.9 
695.50 	66.7 
695.00 	66.8 
694.50 	66.7 
694.00 	66.4 
693.50 	66.6 
693.00 	66.5 
692.50 	66.3 
692.00 	66.5 
691.50 	66.2 
691.00 	66.1 
690.50 	66.3 
690.00 	66.0 
689.50 	65.9 
689.00 	66.1 
688.50 	65.9 
688.00 	65.7 
687.50 	65.8 
687.00 	65.7 
686.50 	65.5 
686.00 	65.8 
685.50 	65.5 
685.00 	65.3 
684.50 	65.6 
684.00 	65.3 
683.50 	65.1 
683.00 	65.4 
682.50 	65.1 
682.00 	64.9 
681.50 	65.3 
681.00 	65.0 
680.50 	64.8 
680.00 	65.1 
679.50 	64.8 
679.00 	64.5 
678.50 	65.0 
678.00 	64.6 
677.50 	64.4 
677.00 	64.8 
676.50 	64.5 
676.00 	64.3 
675.50 	64.7 
675.00 	64.4 
674.50 	64.0 
674.00 	64.6 
673.50 	64.3 
673.00 	64.1 
672.50 	64.4 
672.00 	64.2 
671.50 	64.1 
671.00 	64.2 
670.50 	64.1 
670.00 	64.1 
669.50 	64.0 
669.00 	63.9 
668.50 	64.1 
668.00 	63.7 
667.50 	63.9 
667.00 	64.1 
666.50 	63.5 
666.00 	63.8 
665.50 	64.0 
665.00 	63.4 
664.50 	63.7 
664.00 	64.0 
663.50 	63.4 
663.00 	63.7 
662.50 	63.9 
662.00 	63.3 
661.50 	63.6 
661.00 	63.8 
660.50 	63.4 
660.00 	63.6 
659.50 	63.7 
659.00 	63.5 
658.50 	63.6 
658.00 	63.6 
657.50 	63.6 
657.00 	63.6 
656.50 	63.5 
656.00 	63.6 
655.50 	63.6 
655.00 	63.6 
654.50 	63.6 
654.00 	63.6 
653.50 	63.6 
653.00 	63.6 
652.50 	63.6 
652.00 	63.6 
651.50 	63.7 
651.00 	63.7 
650.50 	63.7 
650.00 	63.7 
649.50 	63.7 
649.00 	63.6 
648.50 	63.8 
648.00 	63.8 
647.50 	63.8 
647.00 	63.9 
646.50 	63.9 
646.00 	63.8 
645.50 	63.9 
645.00 	63.9 
644.50 	63.9 
644.00 	64.0 
643.50 	64.0 
643.00 	64.0 
642.50 	64.1 
642.00 	64.1 
641.50 	64.1 
641.00 	64.2 
640.50 	64.2 
640.00 	64.2 
639.50 	64.3 
639.00 	64.3 
638.50 	64.3 
638.00 	64.4 
637.50 	64.5 
637.00 	64.4 
636.50 	64.6 
636.00 	64.6 
635.50 	64.6 
635.00 	64.7 
634.50 	64.8 
634.00 	64.8 
633.50 	64.8 
633.00 	64.9 
632.50 	64.9 
632.00 	65.0 
631.50 	65.0 
631.00 	65.0 
630.50 	65.2 
630.00 	65.2 
629.50 	65.2 
629.00 	65.4 
628.50 	65.4 
628.00 	65.3 
627.50 	65.5 
627.00 	65.6 
626.50 	65.6 
626.00 	65.7 
625.50 	65.7 
625.00 	65.7 
624.50 	65.9 
624.00 	65.9 
623.50 	65.9 
623.00 	66.0 
622.50 	66.1 
622.00 	66.1 
621.50 	66.2 
621.00 	66.2 
620.50 	66.3 
620.00 	66.4 
619.50 	66.4 
619.00 	66.5 
618.50 	66.6 
618.00 	66.6 
617.50 	66.7 
617.00 	66.8 
616.50 	66.8 
616.00 	66.8 
615.50 	66.9 
615.00 	67.0 
614.50 	67.0 
614.00 	67.1 
613.50 	67.1 
613.00 	67.1 
612.50 	67.3 
612.00 	67.3 
611.50 	67.3 
611.00 	67.4 
610.50 	67.4 
610.00 	67.4 
609.50 	67.5 
609.00 	67.6 
608.50 	67.6 
608.00 	67.7 
607.50 	67.7 
607.00 	67.7 
606.50 	67.8 
606.00 	67.8 
605.50 	67.8 
605.00 	67.9 
604.50 	67.9 
604.00 	67.9 
603.50 	68.0 
603.00 	68.0 
602.50 	68.0 
602.00 	68.1 
601.50 	68.1 
601.00 	68.0 
600.50 	68.1 
600.00 	68.1 
599.50 	68.1 
599.00 	68.2 
598.50 	68.2 
598.00 	68.2 
597.50 	68.2 
597.00 	68.2 
596.50 	68.2 
596.00 	68.2 
595.50 	68.2 
595.00 	68.1 
594.50 	68.2 
594.00 	68.2 
593.50 	68.2 
593.00 	68.2 
592.50 	68.1 
592.00 	68.1 
591.50 	68.1 
591.00 	68.0 
590.50 	68.0 
590.00 	68.0 
589.50 	68.0 
589.00 	67.9 
588.50 	67.9 
588.00 	67.9 
587.50 	67.8 
587.00 	67.8 
586.50 	67.7 
586.00 	67.7 
585.50 	67.7 
585.00 	67.6 
584.50 	67.5 
584.00 	67.6 
583.50 	67.4 
583.00 	67.3 
